class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB,BasketballDrive,0,18,16,43.2,46.2,40.6,85.4,97.4,7,5,2,0,63,403,51,66,81.3,0.186,5,45,0
ClassB,BasketballDrive,32,18,16,8.8,34.4,5.1,14.5,98.5,4,0,1,3,2,759,8,10,13.4,0.215,0,8,0
ClassB,BasketballDrive,56,18,16,28.1,26.3,30.0,61.2,53.8,6,0,6,0,362,268,27,29,4.8,0.179,0,27,0
ClassB,BasketballDrive,all,18,16,35.8,41.0,31.6,67.1,87.2,17,5,9,3,428,1430,86,106,55.3,0.186,5,80,0
ClassB,BasketballDrive,0,18,32,43.3,46.3,40.7,85.5,97.4,7,5,2,0,63,402,51,66,81.4,0.186,6,44,0
ClassB,BasketballDrive,32,18,32,9.2,34.1,5.3,15.3,98.6,4,0,1,3,2,752,8,9,14.2,0.218,0,8,0
ClassB,BasketballDrive,56,18,32,28.0,26.3,29.9,61.4,54.4,6,0,6,0,355,266,26,28,6.2,0.180,0,26,0
ClassB,BasketballDrive,all,18,32,35.9,41.2,31.8,67.4,87.5,17,5,9,3,418,1418,85,103,55.8,0.186,6,78,0
ClassB,BasketballDrive,0,18,64,43.1,45.9,40.5,85.5,97.2,7,5,2,0,68,400,49,67,81.3,0.186,5,43,0
ClassB,BasketballDrive,32,18,64,9.6,36.0,5.5,15.1,98.5,4,0,1,3,2,754,8,11,14.0,0.216,0,8,0
ClassB,BasketballDrive,56,18,64,28.5,26.9,30.1,60.6,54.4,6,0,6,0,351,272,27,29,5.8,0.180,0,27,0
ClassB,BasketballDrive,all,18,64,35.8,41.2,31.7,67.2,87.4,17,5,9,3,421,1427,84,107,55.5,0.187,5,78,0
ClassB,BasketballDrive,0,22,16,41.9,44.8,39.2,85.2,97.5,7,5,2,0,60,410,51,67,81.2,0.188,7,43,0
ClassB,BasketballDrive,32,22,16,11.7,42.6,6.8,15.4,97.2,4,0,1,3,4,751,6,8,14.3,0.211,0,6,0
ClassB,BasketballDrive,56,22,16,27.9,26.0,30.0,60.3,52.5,6,0,6,0,376,274,27,28,1.9,0.183,0,27,0
ClassB,BasketballDrive,all,22,16,35.2,40.4,31.2,67.1,87.0,17,5,9,3,437,1431,84,104,55.1,0.188,8,76,1
ClassB,BasketballDrive,0,22,32,38.1,40.8,35.7,85.0,97.4,7,5,2,0,64,414,56,69,80.7,0.187,10,45,0
ClassB,BasketballDrive,32,22,32,9.0,35.7,5.2,14.3,98.4,4,0,1,3,2,761,8,9,13.2,0.214,0,8,0
ClassB,BasketballDrive,56,22,32,27.8,25.9,29.9,60.0,52.4,6,0,6,0,376,276,25,27,1.9,0.183,0,25,0
ClassB,BasketballDrive,all,22,32,35.0,40.2,30.9,66.7,86.8,17,5,9,3,442,1447,88,106,54.5,0.188,11,77,1
ClassB,BasketballDrive,0,22,64,42.0,44.8,39.4,85.5,97.4,7,5,2,0,63,401,51,67,81.4,0.188,8,42,0
ClassB,BasketballDrive,32,22,64,11.0,42.7,6.3,14.5,98.5,4,0,1,3,2,759,9,11,13.3,0.219,0,9,0
ClassB,BasketballDrive,56,22,64,28.6,27.1,30.0,58.4,53.0,6,0,6,0,357,287,26,27,2.9,0.182,0,26,0
ClassB,BasketballDrive,all,22,64,35.4,40.7,31.2,66.8,87.4,17,5,9,3,420,1444,86,105,55.1,0.188,9,77,1
ClassB,BasketballDrive,0,26,16,41.8,44.7,39.2,85.4,97.5,7,5,2,0,60,405,50,66,81.4,0.187,6,43,0
ClassB,BasketballDrive,32,26,16,8.4,36.2,4.7,12.7,97.4,4,0,1,3,3,775,8,8,11.5,0.211,0,8,0
ClassB,BasketballDrive,56,26,16,27.3,25.6,29.0,57.7,51.3,6,0,6,0,378,292,24,27,-0.6,0.181,0,24,0
ClassB,BasketballDrive,all,26,16,34.7,40.0,30.6,66.2,86.8,17,5,9,3,439,1469,82,101,54.2,0.187,7,75,1
ClassB,BasketballDrive,0,26,32,41.6,44.5,39.1,85.3,97.2,7,5,2,0,68,408,54,69,80.8,0.187,7,45,0
ClassB,BasketballDrive,32,26,32,10.0,38.1,5.7,14.8,97.8,4,0,1,3,3,757,7,9,13.6,0.220,0,7,0
ClassB,BasketballDrive,56,26,32,29.6,27.6,31.9,58.8,51.1,6,0,6,0,388,284,22,25,-0.6,0.185,0,22,0
ClassB,BasketballDrive,all,26,32,35.2,40.3,31.2,66.7,86.4,17,5,9,3,456,1445,83,105,54.3,0.188,8,74,1
ClassB,BasketballDrive,0,26,64,41.7,44.6,39.1,85.1,97.2,7,5,2,0,68,413,51,69,80.8,0.187,6,44,0
ClassB,BasketballDrive,32,26,64,9.9,39.4,5.6,14.0,97.6,4,0,1,3,3,764,8,10,12.7,0.225,0,8,0
ClassB,BasketballDrive,56,26,64,27.9,26.2,29.7,58.1,51.5,6,0,6,0,378,289,25,26,-0.3,0.182,0,25,0
ClassB,BasketballDrive,all,26,64,34.9,40.1,30.8,66.3,86.6,17,5,9,3,447,1464,84,105,54.1,0.188,7,77,1
ClassB,BasketballDrive,0,30,16,43.1,46.2,40.3,84.7,97.3,7,5,2,0,66,422,50,66,80.6,0.185,6,42,0
ClassB,BasketballDrive,32,30,16,8.9,37.5,5.1,13.3,98.3,4,0,1,3,2,770,8,8,12.2,0.212,0,8,0
ClassB,BasketballDrive,56,30,16,30.3,29.0,31.6,58.1,53.7,6,0,6,0,346,289,22,24,4.8,0.182,0,22,0
ClassB,BasketballDrive,all,30,16,36.2,42.0,31.8,66.0,87.4,17,5,9,3,414,1478,80,99,54.6,0.186,6,72,0
ClassB,BasketballDrive,0,30,32,43.3,46.4,40.5,84.8,97.3,7,5,2,0,66,420,50,67,80.6,0.185,7,42,0
ClassB,BasketballDrive,32,30,32,9.6,44.4,5.4,11.8,97.2,4,0,1,3,3,783,6,7,10.8,0.201,0,6,0
ClassB,BasketballDrive,56,30,32,27.5,25.7,29.4,58.8,51.7,6,0,6,0,379,284,27,29,0.0,0.184,0,27,0
ClassB,BasketballDrive,all,30,32,35.9,41.5,31.6,65.8,86.5,17,5,9,3,446,1484,83,104,53.7,0.186,8,75,1
ClassB,BasketballDrive,0,30,64,42.0,45.0,39.3,84.6,97.1,7,5,2,0,71,426,51,67,80.2,0.187,8,43,0
ClassB,BasketballDrive,32,30,64,7.8,36.1,4.4,11.8,97.2,4,0,1,3,3,783,6,7,10.8,0.209,0,6,0
ClassB,BasketballDrive,56,30,64,29.4,27.6,31.3,57.8,51.2,6,0,6,0,380,291,24,27,-0.7,0.180,0,24,0
ClassB,BasketballDrive,all,30,64,35.2,40.6,31.0,65.6,86.2,17,5,9,3,455,1495,81,102,53.3,0.187,9,73,1
ClassB,BasketballDrive,0,34,16,43.5,46.8,40.5,84.4,97.4,7,5,2,0,62,432,53,69,80.2,0.183,6,46,0
ClassB,BasketballDrive,32,34,16,7.5,38.1,4.2,10.6,96.9,4,0,1,3,3,794,6,6,9.6,0.203,0,6,0
ClassB,BasketballDrive,56,34,16,28.3,27.2,29.4,57.1,53.0,6,0,6,0,349,296,22,23,3.3,0.180,0,22,0
ClassB,BasketballDrive,all,34,16,36.0,42.1,31.4,65.0,87.3,17,5,9,3,411,1519,81,99,53.7,0.184,6,74,0
ClassB,BasketballDrive,0,34,32,43.4,46.7,40.5,84.5,97.5,7,5,2,0,61,428,52,68,80.4,0.182,6,44,0
ClassB,BasketballDrive,32,34,32,10.1,46.7,5.6,11.8,98.1,4,0,1,3,2,783,6,7,10.9,0.216,0,6,0
ClassB,BasketballDrive,56,34,32,30.5,29.5,31.4,56.5,53.4,6,0,6,0,341,300,22,25,3.9,0.183,0,22,0
ClassB,BasketballDrive,all,34,32,36.7,42.8,32.0,65.3,87.6,17,5,9,3,403,1509,80,100,54.2,0.183,6,72,0
ClassB,BasketballDrive,0,34,64,43.5,46.9,40.5,84.3,97.6,7,5,2,0,58,434,48,66,80.5,0.183,4,44,0
ClassB,BasketballDrive,32,34,64,7.8,35.1,4.4,12.2,97.3,4,0,1,3,3,780,5,5,11.3,0.214,0,5,0
ClassB,BasketballDrive,56,34,64,29.8,28.9,30.6,55.4,52.7,6,0,6,0,343,308,21,25,2.6,0.181,0,21,0
ClassB,BasketballDrive,all,34,64,36.3,42.5,31.7,65.1,87.6,17,5,9,3,400,1518,74,98,54.2,0.184,5,69,0
ClassB,BasketballDrive,0,38,16,42.1,45.6,39.1,83.9,97.9,7,5,2,0,49,446,55,67,80.1,0.182,8,45,0
ClassB,BasketballDrive,32,38,16,10.2,66.2,5.5,8.2,98.6,4,0,0,4,1,815,3,5,7.8,0.199,0,3,0
ClassB,BasketballDrive,56,38,16,32.0,31.9,31.9,55.7,56.0,6,0,6,0,302,306,23,26,8.6,0.179,0,23,0
ClassB,BasketballDrive,all,38,16,36.2,43.1,31.1,64.0,88.8,17,5,8,4,351,1566,81,98,54.0,0.182,8,71,0
ClassB,BasketballDrive,0,38,32,42.9,46.4,39.9,83.8,97.7,7,5,2,0,54,447,50,67,80.1,0.184,6,44,0
ClassB,BasketballDrive,32,38,32,7.7,48.7,4.2,8.4,98.7,4,0,0,4,1,813,5,7,7.8,0.200,0,5,0
ClassB,BasketballDrive,56,38,32,31.8,31.0,32.5,58.0,55.7,6,0,6,0,318,290,21,24,8.8,0.190,0,21,0
ClassB,BasketballDrive,all,38,32,36.4,43.0,31.5,64.4,88.2,17,5,8,4,373,1547,76,99,54.1,0.185,6,70,0
ClassB,BasketballDrive,0,38,64,43.4,47.0,40.3,83.8,97.8,7,5,2,0,53,447,52,63,80.1,0.183,7,45,0
ClassB,BasketballDrive,32,38,64,9.2,51.1,5.1,9.5,95.5,4,0,1,3,4,804,4,5,8.6,0.203,0,4,0
ClassB,BasketballDrive,56,38,64,32.3,32.2,32.2,57.5,57.9,6,0,6,0,289,293,19,21,12.9,0.180,0,19,0
ClassB,BasketballDrive,all,38,64,37.0,43.9,31.9,64.5,89.0,17,5,9,3,346,1542,75,89,54.8,0.184,7,68,0
ClassB,Cactus,58,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0
ClassB,Cactus,all,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0
ClassB,Cactus,58,18,32,26.3,30.0,23.4,60.4,77.4,1,0,1,0,88,198,6,13,41.6,0.119,0,6,0
ClassB,Cactus,all,18,32,26.3,30.0,23.4,60.4,77.4,1,0,1,0,88,198,6,13,41.6,0.119,0,6,0
ClassB,Cactus,58,18,64,29.3,34.6,25.4,61.4,83.7,1,0,1,0,60,193,6,11,48.2,0.121,0,6,0
ClassB,Cactus,all,18,64,29.3,34.6,25.4,61.4,83.7,1,0,1,0,60,193,6,11,48.2,0.121,0,6,0
ClassB,Cactus,58,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0
ClassB,Cactus,all,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0
ClassB,Cactus,58,22,32,25.7,29.9,22.6,56.6,74.9,1,0,1,0,95,217,8,13,36.0,0.122,0,8,0
ClassB,Cactus,all,22,32,25.7,29.9,22.6,56.6,74.9,1,0,1,0,95,217,8,13,36.0,0.122,0,8,0
ClassB,Cactus,58,22,64,27.9,31.9,24.8,61.2,78.7,1,0,1,0,83,194,8,11,43.0,0.121,0,8,0
ClassB,Cactus,all,22,64,27.9,31.9,24.8,61.2,78.7,1,0,1,0,83,194,8,11,43.0,0.121,0,8,0
ClassB,Cactus,58,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0
ClassB,Cactus,all,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0
ClassB,Cactus,58,26,32,30.2,35.7,26.2,63.2,86.1,1,0,1,0,51,184,7,11,51.6,0.122,0,7,0
ClassB,Cactus,all,26,32,30.2,35.7,26.2,63.2,86.1,1,0,1,0,51,184,7,11,51.6,0.122,0,7,0
ClassB,Cactus,58,26,64,26.7,31.7,23.0,58.4,80.4,1,0,1,0,71,208,9,14,42.4,0.121,0,9,0
ClassB,Cactus,all,26,64,26.7,31.7,23.0,58.4,80.4,1,0,1,0,71,208,9,14,42.4,0.121,0,9,0
ClassB,Cactus,58,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0
ClassB,Cactus,all,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0
ClassB,Cactus,58,30,32,20.6,25.4,17.4,60.6,88.3,1,0,1,0,40,197,8,16,51.0,0.129,0,8,0
ClassB,Cactus,all,30,32,20.6,25.4,17.4,60.6,88.3,1,0,1,0,40,197,8,16,51.0,0.129,0,8,0
ClassB,Cactus,58,30,64,25.6,31.9,21.4,56.6,84.5,1,0,1,0,52,217,5,15,45.2,0.125,0,5,0
ClassB,Cactus,all,30,64,25.6,31.9,21.4,56.6,84.5,1,0,1,0,52,217,5,15,45.2,0.125,0,5,0
ClassB,Cactus,58,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0
ClassB,Cactus,all,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0
ClassB,Cactus,58,34,32,21.9,26.5,18.6,60.8,86.6,1,0,1,0,47,196,9,11,49.6,0.121,0,9,0
ClassB,Cactus,all,34,32,21.9,26.5,18.6,60.8,86.6,1,0,1,0,47,196,9,11,49.6,0.121,0,9,0
ClassB,Cactus,58,34,64,14.7,18.0,12.4,61.8,89.6,1,0,1,0,36,191,8,10,53.0,0.125,0,8,0
ClassB,Cactus,all,34,64,14.7,18.0,12.4,61.8,89.6,1,0,1,0,36,191,8,10,53.0,0.125,0,8,0
ClassB,Cactus,58,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0
ClassB,Cactus,all,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0
ClassB,Cactus,58,38,32,21.5,24.7,19.0,69.2,89.9,1,0,1,0,39,154,5,14,60.4,0.134,0,5,0
ClassB,Cactus,all,38,32,21.5,24.7,19.0,69.2,89.9,1,0,1,0,39,154,5,14,60.4,0.134,0,5,0
ClassB,Cactus,58,38,64,30.8,36.2,26.8,62.0,83.8,1,0,1,0,60,190,6,15,48.8,0.131,0,6,0
ClassB,Cactus,all,38,64,30.8,36.2,26.8,62.0,83.8,1,0,1,0,60,190,6,15,48.8,0.131,0,6,0
ClassB,Kimono,0,18,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0
ClassB,Kimono,26,18,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.129,0,0,0
ClassB,Kimono,all,18,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.141,0,1,0
ClassB,Kimono,0,18,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0
ClassB,Kimono,26,18,32,4.8,100.0,2.5,2.5,100.0,1,0,0,1,0,119,0,0,2.5,0.368,0,0,0
ClassB,Kimono,all,18,32,47.7,60.1,39.5,65.7,100.0,2,1,0,1,0,124,1,1,65.5,0.144,0,1,0
ClassB,Kimono,0,18,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0
ClassB,Kimono,26,18,64,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.308,0,0,0
ClassB,Kimono,all,18,64,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.140,0,1,0
ClassB,Kimono,0,22,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,22,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.074,0,0,0
ClassB,Kimono,all,22,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.139,0,1,0
ClassB,Kimono,0,22,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,22,32,3.2,66.7,1.6,2.5,100.0,1,0,0,1,0,119,1,1,1.6,0.147,0,1,0
ClassB,Kimono,all,22,32,47.3,59.7,39.2,65.7,100.0,2,1,0,1,0,124,2,2,65.2,0.139,0,2,0
ClassB,Kimono,0,22,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0
ClassB,Kimono,26,22,64,6.3,100.0,3.3,3.3,100.0,1,0,0,1,0,118,0,0,3.3,0.117,0,0,0
ClassB,Kimono,all,22,64,47.9,60.3,39.8,66.0,100.0,2,1,0,1,0,123,1,1,65.7,0.138,0,1,0
ClassB,Kimono,0,26,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,26,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,26,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0
ClassB,Kimono,0,26,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0
ClassB,Kimono,26,26,32,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,26,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0
ClassB,Kimono,0,26,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0
ClassB,Kimono,26,26,64,1.6,100.0,0.8,0.8,100.0,1,0,0,1,0,121,0,0,0.8,0.069,0,0,0
ClassB,Kimono,all,26,64,47.2,59.7,39.0,65.2,100.0,2,1,0,1,0,126,1,1,64.9,0.141,0,1,0
ClassB,Kimono,0,30,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0
ClassB,Kimono,26,30,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,30,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0
ClassB,Kimono,0,30,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,30,32,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,30,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0
ClassB,Kimono,0,30,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,30,64,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,30,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0
ClassB,Kimono,0,34,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,34,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,122,0,0,-0.8,nan,0,0,0
ClassB,Kimono,all,34,16,46.8,59.3,38.7,64.9,99.6,2,1,0,1,1,127,1,1,64.4,0.139,0,1,0
ClassB,Kimono,0,34,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,34,32,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,34,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0
ClassB,Kimono,0,34,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.134,0,1,0
ClassB,Kimono,26,34,64,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,34,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.134,0,1,0
ClassB,Kimono,0,38,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,38,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0
ClassB,Kimono,all,38,16,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.137,0,1,0
ClassB,Kimono,0,38,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.135,0,1,0
ClassB,Kimono,26,38,32,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0
ClassB,Kimono,all,38,32,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.135,0,1,0
ClassB,Kimono,0,38,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0
ClassB,Kimono,26,38,64,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0
ClassB,Kimono,all,38,64,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.136,0,1,0
ClassB,ParkScene,0,18,16,62.9,70.8,56.0,77.7,99.5,3,2,1,0,2,126,8,12,76.0,0.155,1,7,0
ClassB,ParkScene,1,18,16,91.8,95.0,88.8,90.6,97.0,3,3,0,0,9,30,1,2,87.5,0.198,0,1,0
ClassB,ParkScene,13,18,16,10.6,52.9,5.9,9.9,93.8,4,0,1,3,4,554,2,6,8.9,0.293,0,2,0
ClassB,ParkScene,all,18,16,55.2,78.2,42.4,52.7,98.1,10,5,2,3,15,710,11,20,51.0,0.181,1,10,0
ClassB,ParkScene,0,18,32,63.0,70.6,56.4,78.4,99.6,3,2,1,0,2,122,8,11,76.7,0.155,1,7,0
ClassB,ParkScene,1,18,32,91.9,95.3,88.8,90.6,97.3,3,3,0,0,8,30,1,2,87.8,0.199,0,1,0
ClassB,ParkScene,13,18,32,10.7,48.1,6.0,10.7,89.2,4,0,1,3,8,549,6,9,8.5,0.278,0,6,0
ClassB,ParkScene,all,18,32,55.2,77.4,42.6,53.3,97.8,10,5,2,3,18,701,15,22,51.1,0.181,1,14,0
ClassB,ParkScene,0,18,64,63.4,71.0,56.7,78.4,99.6,3,2,1,0,2,122,8,12,76.7,0.155,1,7,0
ClassB,ParkScene,1,18,64,92.2,95.9,88.8,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.197,0,1,0
ClassB,ParkScene,13,18,64,9.5,50.8,5.2,8.6,88.3,4,0,1,3,7,562,6,10,6.5,0.286,0,6,0
ClassB,ParkScene,all,18,64,55.3,78.5,42.4,52.4,98.0,10,5,2,3,16,715,15,24,50.3,0.179,1,14,0
ClassB,ParkScene,0,22,16,63.0,70.7,56.2,78.1,99.5,3,2,1,0,2,124,9,13,76.1,0.156,1,8,0
ClassB,ParkScene,1,22,16,91.7,95.6,88.1,89.7,97.3,3,3,0,0,8,33,1,2,86.9,0.196,0,1,0
ClassB,ParkScene,13,22,16,9.4,48.5,5.2,9.8,95.2,4,0,1,3,3,555,4,6,8.6,0.287,0,4,0
ClassB,ParkScene,all,22,16,54.9,77.9,42.1,52.6,98.4,10,5,2,3,13,712,14,21,50.8,0.180,1,13,0
ClassB,ParkScene,0,22,32,62.8,70.4,56.0,78.1,99.5,3,2,1,0,2,124,8,12,76.3,0.154,1,7,0
ClassB,ParkScene,1,22,32,91.4,94.9,88.1,90.0,97.0,3,3,0,0,9,32,1,2,86.9,0.198,0,1,0
ClassB,ParkScene,13,22,32,9.6,56.1,5.2,8.0,90.7,4,0,0,4,5,566,4,7,6.5,0.278,0,4,0
